Date,confirmed,deaths
2020-12-15,16403191,298953
2020-12-16,16630624,302337
2020-12-17,16869599,305702
2020-12-18,17102601,308152
2020-12-19,17286515,310438
2020-12-20,17451328,311860
2020-12-21,17818508,313165
2020-12-22,17993301,316639
2020-12-23,18222988,319328
2020-12-24,18405019,322540
2020-12-25,18454967,323324
2020-12-26,18627707,324354
2020-12-27,18750047,325505
2020-12-28,18968219,328521
2020-12-29,19198606,331794
2020-12-30,19456912,335246
2020-12-31,19661879,338641
2021-01-01,19852553,341508
2021-01-02,20141571,344054
2021-01-03,20371757,345697
2021-01-04,20542798,347251
2021-01-05,20780964,350732
2021-01-06,21038010,354731
2021-01-07,21301858,358635
2021-01-08,21576361,361836
2021-01-09,21847208,365090
2021-01-10,22068790,367510
2021-01-11,22265944,369388
2021-01-12,22475913,373392
2021-01-13,22695160,377445
2021-01-14,22941258,381347
2021-01-15,23177193,384986
2021-01-16,23387271,388571
2021-01-17,23570954,390583
2021-01-18,23726147,392020
2021-01-19,23863389,393915
2021-01-20,24062996,398482
2021-01-21,24256259,402566
2021-01-22,24437951,406499
2021-01-23,24608147,409835
2021-01-24,24746639,411713
2021-01-25,24882689,413464
2021-01-26,25023940,416899
2021-01-27,25178642,421075
2021-01-28,25330990,424921
2021-01-29,25496324,428574
2021-01-30,25647717,431501
2021-01-31,25764564,433564
2021-02-01,25885662,434934
2021-02-02,25998591,438272
2021-02-03,26114860,442125
2021-02-04,26236466,447350
2021-02-05,26368883,450815
2021-02-06,26466912,453798
2021-02-07,26572964,455380
2021-02-08,26649841,456652
2021-02-09,26743275,459437
2021-02-10,26840459,462827
2021-02-11,26942866,466748
2021-02-12,27038543,472136
2021-02-13,27128902,475365
2021-02-14,27197465,476782
2021-02-15,27251559,477864
2021-02-16,27310671,479237
2021-02-17,27377206,481624
2021-02-18,27441813,484186
2021-02-19,27515123,486681
2021-02-20,27587477,488659
2021-02-21,27644910,489924
2021-02-22,27694033,491154
2021-02-23,27760104,493196
2021-02-24,27834667,495994
2021-02-25,27911483,499209
2021-02-26,27973633,501238
2021-02-27,28052733,503069
2021-02-28,28105233,504150
2021-03-01,28181387,505476
2021-03-02,28235460,507410
2021-03-03,28303159,510177
2021-03-04,28367085,512121
2021-03-05,28431547,513824
2021-03-06,28484690,515265
2021-03-07,28526234,515994
2021-03-08,28568767,516881
2021-03-09,28621962,519020
2021-03-10,28678252,520642
2021-03-11,28734797,522189
2021-03-12,28791616,523780
2021-03-13,28847338,524701
2021-03-14,28890017,525201
2021-03-15,28936896,525840
2021-03-16,28991447,527101
2021-03-17,29048406,528292
2021-03-18,29103611,529939
2021-03-19,29159294,531291
2021-03-20,29205718,531880
2021-03-21,29242134,532842
2021-03-22,29287849,533275
2021-03-23,29340399,534266
2021-03-24,29439355,535766
2021-03-25,29500089,536996
2021-03-26,29570657,538190
2021-03-27,29629464,538922
2021-03-28,29689293,539299
2021-03-29,29743578,539923
2021-03-30,29796319,540641
2021-03-31,29863536,541621
2021-04-01,29947899,543048
2021-04-02,30014206,543926
2021-04-03,30079154,544862
